Altium Designer Pick and Place Locations
C:\Workspace\UAV-CAN-MODULES\LinearActuator\LinearActuator\Project Outputs for LinearActuator\Pick Place\Pick Place for LinearActuator_ARRAY.csv

========================================================================================================================
File Design Information:

Date:       14/01/22
Time:       16:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"JS1","JumperSMD 3Pin","TopLayer","JumperSMD_3Pin","79.1957","12.5611","180",""
"C7","1uF","TopLayer","SMD_CAP_0603","47.2044","12.8117","180","Bipolar Capacitor"
"C6","100nF","TopLayer","SMD_CAP_0603","47.2044","10.9575","180","Bipolar Capacitor"
"C5","1uF","TopLayer","SMD_CAP_0603","75.2206","13.5229","180","Bipolar Capacitor"
"P2","Connector","TopLayer","PH_Connector_2Pin","67.3032","19.4336","0",""
"Y1","CSTCE8M00G55-R0","TopLayer","*OSC_CSTCE8M00G55-R0","44.1564","5.9537","0","Ceramic Resonator 8MHz ??0.5% _Tol_ ??0.2% _Stability_ 33pF 40Ohm 3-Pin CSMD T/R"
"U3","ATmega8-16PU","TopLayer","28P3","39.1018","12.3545","90","8-bit AVR Microcontroller, 4.5-5.5V, 16MHz, 8KB Flash, 512 Bytes EEPROM, 1KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)"
"U2","L293D","TopLayer","STM-L293D-16","67.4482","12.4045","90","Push-Pull Four Channel Driver with Diode, 4.5 to 36 V, -40 to 150 degC, 16-Pin PDIP, RoHS, Tube"
"U1","78M05","TopLayer","TO220-AB-Stand","82.6882","12.5323","270",""
"R6","10K","TopLayer","Res-(1/4)","38.6954","21.9811","0","Resistor"
"R5","330R","TopLayer","Res-(1/4)","44.0746","3.4645","180","Resistor"
"R4","10K","TopLayer","Res-(1/4)","38.6954","20.0480","0","Resistor"
"R3","10K","TopLayer","Res-(1/4)","38.6954","18.1149","180","Resistor"
"R2","330R","TopLayer","Res-(1/4)","41.3624","11.3639","0","Resistor"
"R1","330R","TopLayer","Res-(1/4)","41.3624","13.3959","0","Resistor"
"Q2","CNY70","BottomLayer","FP-6_544-5062_01-4-MFG","25.0810","12.6795","90","SENSOR OPTO TRANS 5MM REFLTH PCB"
"Q1","CNY70","BottomLayer","FP-6_544-5062_01-4-MFG","33.1836","12.6795","90","SENSOR OPTO TRANS 5MM REFLTH PCB"
"P5","Connector","TopLayer","Polarized_Header_4","26.2134","4.5059","0",""
"P4","Connector","TopLayer","Polarized_Header_4","26.2234","20.2685","180",""
"P3","Connector","TopLayer","Polarized_Header_5","49.8518","20.2985","180",""
"P1","Connector","TopLayer","PH_Connector_2Pin","67.3032","5.3949","180",""
"J1","XT30-M","TopLayer","XT30-M_side","95.7184","12.6731","270",""
"D1","LED1","TopLayer","LED-1","50.7858","4.6583","0","Typical RED GaAs LED"
"C4","100nF","TopLayer","SMD_CAP_0603","75.2206","11.3893","180","Bipolar Capacitor"
"C3","220uf,25V","TopLayer","CAPE_R3.5","89.3150","8.1381","90","220uf,25V"
"C2","470uF,50V","TopLayer","CAPE_R3.5","89.2668","16.8529","270","470uF,50V"
"C1","100nF","TopLayer","SMD_CAP_0603","83.1552","19.7713","180","Bipolar Capacitor"
"JS1","JumperSMD 3Pin","TopLayer","JumperSMD_3Pin","79.1957","37.5611","180",""
"C7","1uF","TopLayer","SMD_CAP_0603","47.2044","37.8117","180","Bipolar Capacitor"
"C6","100nF","TopLayer","SMD_CAP_0603","47.2044","35.9575","180","Bipolar Capacitor"
"C5","1uF","TopLayer","SMD_CAP_0603","75.2206","38.5229","180","Bipolar Capacitor"
"P2","Connector","TopLayer","PH_Connector_2Pin","67.3032","44.4336","0",""
"Y1","CSTCE8M00G55-R0","TopLayer","*OSC_CSTCE8M00G55-R0","44.1564","30.9537","0","Ceramic Resonator 8MHz ??0.5% _Tol_ ??0.2% _Stability_ 33pF 40Ohm 3-Pin CSMD T/R"
"U3","ATmega8-16PU","TopLayer","28P3","39.1018","37.3545","90","8-bit AVR Microcontroller, 4.5-5.5V, 16MHz, 8KB Flash, 512 Bytes EEPROM, 1KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)"
"U2","L293D","TopLayer","STM-L293D-16","67.4482","37.4045","90","Push-Pull Four Channel Driver with Diode, 4.5 to 36 V, -40 to 150 degC, 16-Pin PDIP, RoHS, Tube"
"U1","78M05","TopLayer","TO220-AB-Stand","82.6882","37.5323","270",""
"R6","10K","TopLayer","Res-(1/4)","38.6954","46.9811","0","Resistor"
"R5","330R","TopLayer","Res-(1/4)","44.0746","28.4645","180","Resistor"
"R4","10K","TopLayer","Res-(1/4)","38.6954","45.0480","0","Resistor"
"R3","10K","TopLayer","Res-(1/4)","38.6954","43.1149","180","Resistor"
"R2","330R","TopLayer","Res-(1/4)","41.3624","36.3639","0","Resistor"
"R1","330R","TopLayer","Res-(1/4)","41.3624","38.3959","0","Resistor"
"Q2","CNY70","BottomLayer","FP-6_544-5062_01-4-MFG","25.0810","37.6795","90","SENSOR OPTO TRANS 5MM REFLTH PCB"
"Q1","CNY70","BottomLayer","FP-6_544-5062_01-4-MFG","33.1836","37.6795","90","SENSOR OPTO TRANS 5MM REFLTH PCB"
"P5","Connector","TopLayer","Polarized_Header_4","26.2134","29.5059","0",""
"P4","Connector","TopLayer","Polarized_Header_4","26.2234","45.2685","180",""
"P3","Connector","TopLayer","Polarized_Header_5","49.8518","45.2985","180",""
"P1","Connector","TopLayer","PH_Connector_2Pin","67.3032","30.3949","180",""
"J1","XT30-M","TopLayer","XT30-M_side","95.7184","37.6731","270",""
